text,label
"I love this product! It works perfectly.",positive
"This is the best service I've ever experienced.",positive
"Highly recommend! Great quality and fast delivery.",positive
"The team was incredibly helpful and friendly.",positive
"Absolutely fantastic! Exceeded my expectations.",positive
"This product is a game-changer. I’m impressed.",positive
"Exceptional service, will definitely return.",positive
"The quality is outstanding, worth every penny.",positive
"Best purchase I’ve made in a long time.",positive
"This is great.", positive
"Awesome purchase.", positive
"Perfect in every way. Highly satisfied.",positive
"The service was terrible and the staff was rude.",negative
"Worst experience ever. I will never come back.",negative
"The product broke after just one use. Very disappointed.",negative
"Poor quality and overpriced. Not worth it.",negative
"The delivery was late, and the item was damaged.",negative
"Horrible customer service. They ignored my complaints.",negative
"The product arrived defective and unusable.",negative
"Waste of money. Would not recommend.",negative
"The worst purchase I’ve ever made.",negative
"Terrible experience from start to finish.",negative
"This is an average experience, nothing special.",neutral
"The product works as expected, but there’s nothing remarkable.",neutral
"It’s okay, but I wouldn’t go out of my way to recommend it.",neutral
"Neither good nor bad, just standard service.",neutral
"It does the job, but there’s room for improvement.",neutral
"Average quality for the price.",neutral
"Not bad, but not great either.",neutral
"It’s fine, but I expected more.",neutral
"Standard experience, nothing to complain about.",neutral
"Does what it says, but no extra value.",neutral

